numero_dpe,date_etablissement_dpe,annee_construction,periode_construction,type_batiment,etiquette_dpe,etiquette_ges,adresse_ban,code_postal_ban,nom_commune_ban,coordonnee_cartographique_x_ban,coordonnee_cartographique_y_ban,surface_habitable_logement,hauteur_sous_plafond,qualite_isolation_enveloppe,qualite_isolation_murs,qualite_isolation_menuiseries,qualite_isolation_plancher_bas,deperditions_enveloppe,deperditions_murs,type_energie_principale_chauffage,conso_5_usages_par_m2_ep,emission_ges_5_usages,cout_total_5_usages,classe_inertie_batiment,zone_climatique,nombre_niveau_logement,nombre_niveau_immeuble
2675E0022439D,2026-01-06,,1948-1974,appartement,E,C,23 Rue Bichat 75010 Paris,75010,Paris,653663.22,6863621.85,29.1,2.5,bonne,insuffisante,moyenne,très bonne,77.4,27.8,Électricité,345.0,390.6,1180.2,Légère,H1a,1.0,
2675E0015435T,2026-01-05,,avant 1948,appartement,F,C,36 Rue Notre-Dame de Nazareth 75003 Paris,75003,Paris,652977.63,6863233.28,23.0,2.4,insuffisante,insuffisante,moyenne,très bonne,100.0,44.9,Électricité,412.0,377.9,1103.6,Légère,H1a,1.0,
2675E0071723R,2026-01-12,1945.0,avant 1948,appartement,C,C,47 Rue de Nantes 75019 Paris,75019,PARIS,654564.92,6866044.56,24.0,2.6,bonne,insuffisante,très bonne,insuffisante,1187.4,189.5,Réseau de Chauffage urbain,142.8,568.9,341.3,Moyenne,H1a,1.0,7.0
2675E0006633F,2026-01-04,,avant 1948,appartement,E,B,30 Avenue Simon Bolivar 75019 Paris,75019,Paris,654744.34,6864045.43,33.5,2.6,insuffisante,insuffisante,moyenne,très bonne,78.4,37.5,Électricité,262.0,343.9,1035.5,Légère,H1a,1.0,
2175E0524180R,2021-10-18,1947.0,avant 1948,appartement,D,B,196 Rue des Pyrénées 75020 Paris,75020,Paris,655942.91,6862814.77,57.6,2.5,insuffisante,insuffisante,moyenne,très bonne,116.4,37.9,Électricité,208.9,472.3,1090.3,Moyenne,H1a,1.0,
2475E2395512C,2024-07-02,1945.0,avant 1948,appartement,F,C,153 Rue de Rennes 75006 Paris,75006,Paris,650492.33,6860789.49,28.1,2.9,insuffisante,insuffisante,insuffisante,bonne,127.3,55.8,Électricité,417.9,449.1,1336.0,Moyenne,H1a,1.0,1.0
2675E0043002A,2026-01-08,1947.0,avant 1948,appartement,D,B,21 Rue du Volga 75020 Paris,75020,Paris,656387.82,6861540.41,22.6,2.6,moyenne,insuffisante,moyenne,insuffisante,47.6,5.9,Électricité,243.6,211.5,706.0,Moyenne,H1a,1.0,
2675E0023648Q,2026-01-06,,avant 1948,appartement,E,C,30 Avenue du Docteur Arnold Netter 75012 Paris,75012,Paris,656362.98,6860492.45,54.4,2.7,insuffisante,insuffisante,bonne,très bonne,173.5,104.6,Électricité,291.0,631.9,1764.7,Moyenne,H1a,1.0,
2675E0038066E,2026-01-07,,avant 1948,appartement,E,C,2 Rue des Batignolles 75017 Paris,75017,Paris,650413.97,6865017.2,29.5,2.7,insuffisante,insuffisante,moyenne,très bonne,87.0,43.4,Électricité,322.0,377.8,1106.5,Moyenne,H1a,1.0,
2675E0068779L,2026-01-11,,avant 1948,appartement,E,C,68 Rue de Montreuil 75011 Paris,75011,Paris,655330.97,6861320.17,28.6,2.6,insuffisante,insuffisante,moyenne,très bonne,94.0,27.0,Électricité,350.0,398.5,1160.1,Moyenne,H1a,1.0,
2675E0002998K,2026-01-02,,avant 1948,appartement,G,C,24 Rue Pierre Nicole 75005 Paris,75005,Paris,651526.87,6860306.71,32.4,2.9,insuffisante,insuffisante,moyenne,très bonne,200.5,51.7,Électricité,599.0,785.5,2131.4,Moyenne,H1a,1.0,
2675E0023886U,2026-01-06,,1948-1974,appartement,E,D,9 Rue du Chevaleret 75013 Paris,75013,Paris,654340.75,6858595.23,72.0,2.5,insuffisante,insuffisante,bonne,très bonne,16362.9,10808.1,Réseau de Chauffage urbain,273.0,3442.3,1795.9,Très lourde,H1a,1.0,10.0
2175E0613934T,2021-11-02,1912.0,avant 1948,appartement,E,B,72 Rue Vasco de Gama 75015 Paris,75015,Paris,647522.94,6859727.77,37.9,2.6,insuffisante,insuffisante,moyenne,,109.6,39.2,Électricité,293.3,441.3,1013.0,,H1a,1.0,
2675E0068199D,2026-01-11,,avant 1948,appartement,G,C,53 Rue Sedaine 75011 Paris,75011,Paris,654191.79,6862114.57,21.8,2.6,insuffisante,insuffisante,insuffisante,très bonne,106.2,41.5,Électricité,495.0,433.5,1240.2,Légère,H1a,1.0,
2675E0010831R,2026-01-05,,avant 1948,appartement,D,B,50 Rue de la Fontaine au Roi 75011 Paris,75011,Paris,654020.48,6863291.19,14.3,2.5,très bonne,insuffisante,bonne,très bonne,41.3,13.8,Électricité,294.0,161.1,578.1,Légère,H1a,1.0,
2575E4043412X,2025-12-17,1945.0,avant 1948,appartement,G,C,59 Rue Nollet 75017 Paris,75017,Paris,650203.53,6865449.02,48.0,2.7,insuffisante,insuffisante,moyenne,très bonne,366.2,48.1,Électricité,699.0,1344.0,3612.0,Moyenne,H1a,1.0,1.0
2675E0041022W,2026-01-07,,avant 1948,appartement,E,B,7 Rue du Pré aux Clercs 75007 Paris,75007,Paris,650857.75,6862018.23,26.0,2.5,insuffisante,insuffisante,moyenne,insuffisante,70.7,28.3,Électricité,287.0,293.0,904.1,Légère,H1a,1.0,
2675E0078323N,2026-01-12,1972.0,1948-1974,appartement,D,D,7 Rue Nicolas Houël 75005 Paris,75005,Paris,653161.33,6860419.59,52.5,2.5,insuffisante,insuffisante,insuffisante,insuffisante,26298.0,3927.8,Réseau de Chauffage urbain,213.0,1990.1,1022.0,Moyenne,H1a,1.0,11.0
2675E0002077Z,2026-01-02,,2006-2012,appartement,C,C,146 Boulevard Macdonald 75019 Paris,75019,Paris,654443.01,6866738.09,63.6,2.5,très bonne,bonne,moyenne,très bonne,96.2,13.4,Réseau de Chauffage urbain,115.0,1148.3,695.1,Très lourde,H1a,1.0,
